RegionName,RegionID,MeanValue,MaxValue,MinValue,MedianValue,StdValue,VoxelCount,Volume_mm3
L-V1,1,0.14585024437439664,0.8471150994300842,0.0,0.11734870076179504,0.1486703407681079,13812,13812.0
L-V3,5,0.24239534460326514,0.601225733757019,0.0,0.2784876972436905,0.1689755489608717,7106,7106.0
L-OP2-3,102,0.5521749230160267,1.1226507425308228,0.0,0.6888799071311951,0.3561220070263548,943,943.0
L-23d,32,0.33204634817293865,0.6945364475250244,0.0,0.3659866154193878,0.20789760373807828,1261,1261.0
