RegionID,RegionName,MeanValue,MaxValue,MinValue,MedianValue,StdValue,VoxelCount,Volume_mm3
1037,R-5mv,0.14826271265719734,0.2536941170692444,0.0,0.17502447217702866,0.07523468039733422,1996,1996.0
1032,R-23d,0.14604658580526042,0.272869735956192,0.0,0.15863995254039764,0.05313209248950712,1513,1513.0
32,L-23d,0.14444905240165876,0.28142690658569336,0.0,0.1668432503938675,0.06926443277574224,1261,1261.0
1034,R-d23ab,0.13873698478932497,0.21076080203056335,0.0,0.1425674706697464,0.042139630618407066,1106,1106.0
1038,R-23c,0.13199698763719533,0.27122029662132263,0.0,0.1516435444355011,0.06447172334912084,2498,2498.0
162,L-31a,0.1313620647667983,0.2427736073732376,0.0,0.1494118943810463,0.05599357438623288,1260,1260.0
1036,R-5m,0.1293152766221747,0.3943259119987488,0.0,0.15734709799289703,0.08750281653198994,2079,2079.0
1162,R-31a,0.12894722286303129,0.23680026829242706,0.0,0.14650758355855942,0.05283590527077107,1116,1116.0
1046,R-7PL,0.12776103183738274,0.2224029153585434,0.0,0.16363275051116943,0.07061283916649264,1363,1363.0
40,L-24dd,0.12172827299812704,0.2913336157798767,0.0,0.14090609550476074,0.0737426000476407,2665,2665.0
36,L-5m,0.12105262322878738,0.21029578149318695,0.0,0.15509696304798126,0.06714607280638324,1483,1483.0
38,L-23c,0.11870498566689332,0.2382824718952179,0.0,0.14227116107940674,0.06281231231808661,2259,2259.0
1126,R-PHA1,0.11816093452207871,0.15883973240852356,0.0,0.1351894810795784,0.04073925625169774,1168,1168.0
1142,R-DVT,0.11580738139390773,0.20848767459392548,0.0,0.142975315451622,0.06435832360183723,2176,2176.0
26,L-SFL,0.11441156826772834,0.21450111269950867,0.0,0.13093917071819305,0.0639661591366879,3873,3873.0
1040,R-24dd,0.11394454770900066,0.23544193804264069,0.0,0.1300712674856186,0.07075214672152817,2820,2820.0
1161,R-31pd,0.11363514650633146,0.22029736638069153,0.0,0.12178617343306541,0.05511144643195254,864,864.0
1050,Unknown_1050,0.11335540075084537,0.239499032497406,0.0,0.13822562992572784,0.06425640275409632,2403,2403.0
1138,R-PH,0.11193021059898356,0.1996976137161255,0.0,0.128691628575325,0.04744390210346193,3205,3205.0
1030,R-7m,0.10979014190753501,0.15900498628616333,0.0,0.12100490182638168,0.03344896967319934,2067,2067.0
1035,R-31pv,0.10905475424688174,0.20737777650356293,0.0,0.13464993238449097,0.06735649595057006,1022,1022.0
1039,R-5L,0.10886144269712808,0.33043983578681946,0.0,0.12018324434757233,0.09210742509002677,2327,2327.0
1163,R-VVC,0.10884003893064949,0.18066327273845673,0.0,0.11099136620759964,0.026019454148869053,2753,2753.0
1033,R-v23ab,0.1084070888170361,0.16845107078552246,0.0,0.12718817591667175,0.04418102309373128,1089,1089.0
1105,R-PFcm,0.10767097914562287,0.19187170267105103,0.0,0.1319451630115509,0.0499484069188926,1485,1485.0
57,L-p24pr,0.10647728565823104,0.2498800903558731,0.0,0.11102695018053055,0.04618899462814362,1422,1422.0
1152,R-V6A,0.1062738560300422,0.1909603476524353,0.0,0.1311585232615471,0.05483910101227872,734,734.0
1023,R-MT,0.10571355292418207,0.1718488186597824,0.0,0.1266421377658844,0.050127421882374665,1005,1005.0
1104,R-RI,0.10571125270586851,0.19180935621261597,0.0,0.12409904599189758,0.049465155102417335,1334,1334.0
1031,R-POS1,0.10529249963386171,0.20109489560127258,0.0,0.13409556448459625,0.058339990515669134,2727,2727.0
44,L-6ma,0.10518223309143426,0.30023160576820374,0.0,0.10461927950382233,0.09586321959393619,3941,3941.0
54,L-6d,0.10503921930823677,0.3522324562072754,0.0,0.09111503139138222,0.09657793167495568,2916,2916.0
53,L-3a,0.10491035105601236,0.25600841641426086,0.0,0.1116829514503479,0.06187566048369288,2247,2247.0
1014,R-RSC,0.10359521244052577,0.2364850789308548,0.0,0.12047398835420609,0.05356121389490233,3067,3067.0
1022,R-PIT,0.10352287818469628,0.1773802638053894,0.0,0.11829262599349022,0.05197872046236733,1386,1386.0
168,L-Ig,0.10352075513503232,0.14486096799373627,0.0,0.11433696001768112,0.03062020164869373,841,841.0
1025,R-PSL,0.10169070896010493,0.16989463567733765,0.0,0.12144708633422852,0.049186878146886444,2759,2759.0
1156,R-V4t,0.10128501044044,0.18887028098106384,0.0,0.12363936752080917,0.05116628336131291,1249,1249.0
1057,R-p24pr,0.10025483758299468,0.20134831964969635,0.0,0.10176634415984154,0.042434949747791946,1724,1724.0
1042,R-7AL,0.10017794785410399,0.24784673750400543,0.0,0.10225281491875648,0.08326932904694484,2030,2030.0
1002,R-MST,0.09987298357052965,0.17611163854599,0.0,0.11870399489998817,0.04773774916123133,1036,1036.0
104,L-RI,0.09973528108803119,0.1464841514825821,0.0,0.104403056204319,0.030040438841751994,1149,1149.0
1027,R-PCV,0.09950088756902203,0.21117624640464783,0.0,0.1279471069574356,0.058745047819118774,2416,2416.0
12,L-55b,0.09938649688092971,0.271091103553772,0.0,0.10080108419060707,0.08712236842904024,2422,2422.0
1047,R-7PC,0.09907901544830208,0.2637232840061188,0.0,0.11604802310466766,0.077225979514141,3415,3415.0
1015,R-POS2,0.09826133739840723,0.18935920298099518,0.0,0.11883602291345596,0.052969727981775905,3093,3093.0
1003,R-V6,0.09797787643061946,0.20601794123649597,0.0,0.12387893348932266,0.06497870397745083,1559,1559.0
1029,R-7Pm,0.09743229456135581,0.18834711611270905,0.0,0.11411101743578911,0.0467483640823814,1308,1308.0
