ROI_Name,CenterCoords_RAS,CenterCoords_Voxel,RadiusMM,MeanValue,MaxValue,MinValue,MedianValue,StdValue,VoxelCount,Volume_mm3
ROI1,"(-12.37, -53.4, 0.94)","(np.float64(102.37), np.float64(72.6), np.float64(72.94))",2.0,0.7012405757393155,0.8471150994300842,0.23441724479198456,0.7191659212112427,0.11369207265801762,35,35.0
R0I2,"(22.85, -61.06, -53.21)","(np.float64(67.15), np.float64(64.94), np.float64(18.79))",2.0,0.48334028259400397,0.4924857020378113,0.47146889567375183,0.48401233553886414,0.005342243579389028,31,31.0
